,F,I,tfidf,H,H-tilde,H-tilde_std,N
ABCA12,1.201392125138926e-07,-0.001333333333316311,7.2641468494410635,2.584962500721156,2.5836291673878398,0.021039645114746083,6
ABCA13,2.402784250277852e-07,-0.0026666666667587435,6.570999668881119,3.584962500721156,3.5822958340543973,0.020912516206078084,12
ABCA17P,1.361577741824116e-06,0.13603662095584745,5.302674099601204,5.940404017720927,6.076440638676774,0.017911336101872326,68
ABCA2,2.5449489850859582e-05,0.15179866326450053,2.478168308256884,9.97140079848361,10.123199461748111,0.01588389580167224,1271
ABCA3,2.633051074262813e-05,0.24729190811085466,2.629199572671979,9.91920468189574,10.166496590006595,0.016352245883751632,1315
ABCA4,6.207192646551117e-07,0.652791225051633,7.9796858776060455,4.297276053077189,4.950067278128822,0.01605194482024262,31
ABCA5,3.147647367863986e-05,0.29815398083404965,2.5752366225898657,10.08969426717943,10.38784824801348,0.016484371832060855,1572
ABCA6,1.0812529126250334e-06,0.14054157615744334,5.555393978300251,5.60673935401532,5.747280930172764,0.01731149080519417,54
ABCA7,9.290765767741028e-06,0.16810398575251817,3.4401063652742314,8.618714723557199,8.786818709309717,0.01740490233717417,464
ABCA8,9.41090498025492e-07,0.7649502660955623,8.21056279830817,4.783000287709757,5.547950553805319,0.01646231136563262,47
ABCA9,2.2025522294213642e-07,-0.0014545454545853431,6.658011045870748,3.4594316186372973,3.457977073182712,0.016197132698863574,11
ABCB1,1.916220439596587e-05,0.47746684977912146,3.383782669525941,9.28091855497255,9.758385404751671,0.016474303178585926,957
ABCB10,1.0111717053252628e-05,0.30442408151523637,3.6842217788226566,8.598369305323372,8.902793386838608,0.0169595630804482,505
ABCB11,6.00696062569463e-08,0.6659999999999983,12.54413870716376,0.9182958340544894,1.5842958340544877,0.021071307506925225,3
ABCB4,1.802088187708389e-06,0.18649978277775325,5.1793968488852,6.291853096329675,6.478352879107428,0.017303331782498193,90
ABCB6,1.2614617313958722e-06,0.11716262083334161,5.315885408645664,5.850295796515789,5.967458417349131,0.01794964325891338,63
ABCB7,8.149443248859049e-06,0.1313405504801235,3.468996307788175,8.474733755743756,8.60607430622388,0.018064659765852618,407
ABCB8,8.630000098914619e-06,0.04018696967187907,3.2058298070707645,8.645952933789037,8.686139903460916,0.016871855003433647,431
ABCB9,6.067030231951576e-06,0.31598342845875393,4.240169051749134,7.880882110499957,8.196865538958711,0.01649355755551013,303
ABCC1,1.1533364401333689e-05,0.14791663361835106,3.178186214473735,8.933354406812988,9.08127104043134,0.01683036771738317,576
ABCC10,8.389721673886834e-06,0.1300445396863914,3.435507875348684,8.516272364476615,8.646316904163006,0.017607545031109187,419
ABCC11,6.00696062569463e-08,-0.0006666666666683696,7.957294030001009,1.584962500721156,1.5842958340544877,0.021071307506925225,3
ABCC12,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ABCC13,4.805568500555704e-07,0.27787031259018313,6.87015300679508,4.303508854797678,4.581379167387861,0.0169047577172432,24
ABCC2,4.0046404171297534e-08,6.661338147750939e-16,8.362759138109174,1.0,1.0000000000000007,0.0,2
ABCC3,2.9494176672160634e-05,0.8550579748866323,4.038233319884609,9.452064054030739,10.307122028917371,0.0164905668893167,1473
ABCC4,3.3238515462176954e-06,0.1687427716502441,4.4398145429655385,7.180673994560838,7.349416766211082,0.017115022337464036,166
ABCC5,1.8581531535482055e-05,0.3698589797172911,3.229834278254633,9.348798960595428,9.718657940312719,0.016602712182189762,928
ABCC6,3.604176375416778e-07,-0.002555555555570521,6.165534560772954,4.169925001442312,4.167369445886742,0.018077678752511695,18
ABCC6P1,2.6030162711343396e-07,0.15061538461544766,7.118582974621212,3.5465935642949384,3.697208948910386,0.022059092219785068,13
ABCC6P2,2.2826450377639595e-06,0.03363553618401571,4.463845742150212,6.780258435217373,6.813893971401389,0.017802058175916135,114
ABCC8,0.000299406940786706,1.454346432660996,4.705579101456672,10.936304654199986,12.390651086860982,0.008073030995545238,14953
ABCC9,7.608816792546532e-07,0.31068421052632633,6.6383273688449025,4.932138039759375,5.242822250285701,0.01592842368247506,38
ABCD1,5.02582372349784e-06,0.09862349203981058,3.8621661796203663,7.8330778666911565,7.931701358730967,0.017938949215888872,251
ABCD2,8.009280834259507e-08,1.3322676295501878e-15,7.669611957549228,2.0,2.0000000000000013,0.0,4
ABCD3,5.524401455430495e-05,0.16455405031629944,1.8903367265851383,10.878945274853955,11.043499325170254,0.01509759965940525,2759
ABCD4,1.1132900359620714e-05,0.14962445655706702,3.220285623554349,8.884176099678577,9.033800556235644,0.016767446543180582,556
ABCE1,2.3307007227695163e-05,0.17526402473914615,2.590906254452884,9.835857932651118,10.011121957390264,0.015771199088816495,1164
ABCF1,6.501533717210155e-05,0.13342118985576867,1.729543483497806,11.08383664958586,11.21725783944163,0.014529851286674765,3247
ABCF2,2.8493016567878193e-05,0.1812489293548829,2.4373363284535956,10.083630046283453,10.264878975638336,0.01647851371612871,1423
ABCF3,2.468860817160493e-05,0.05257335820370024,2.3198323984481792,10.03147048664214,10.08404384484584,0.01669482486693824,1233
ABCG1,2.1905383081699752e-05,0.2865998919016981,2.905093638370809,9.64487399943416,9.931473891335859,0.016368904305293627,1094
ABCG2,2.142482623164418e-06,0.3968004014625004,5.645170200017876,6.32777855176105,6.72457895322355,0.0171493551204619,107
ABCG4,3.003480312847315e-07,0.39773333333336724,8.213749586101398,3.506890595608519,3.904623928941886,0.01723613774859393,15
ABCG5,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ABHD1,5.206032542268679e-07,0.30438461538459816,7.0493845680945855,4.392747410448784,4.697132025833382,0.015604391740621119,26
ABHD10,6.32733185906501e-06,0.08885589771826297,3.608753166427317,8.166091586771005,8.254947484489268,0.01727877390371954,316
ABHD11,1.8281183504197325e-05,0.17654343943715567,2.8206247478239943,9.520885329804816,9.697428769241972,0.01621826875096223,913
ABHD12,8.920336529156526e-05,0.3000700498714579,1.7629136037070945,11.232762799459339,11.532832849330797,0.013178699686809665,4455
ABHD13,1.9422506023079302e-05,0.17498717691988475,2.756654994049585,9.601121607132976,9.77610878405286,0.01671117952473625,970
ABHD14A,2.5029002607060957e-05,0.21706471229999735,2.6007699949920124,9.88514367236407,10.102208384664067,0.01627720077837929,1250
ABHD14A-ACY1,8.389721673886834e-06,0.12663653342627867,3.435507875348684,8.519243993349733,8.645880526776011,0.016620048226530983,419
ABHD14B,6.683744856189558e-05,0.19661988064853197,1.8142921390620363,11.049931335044587,11.246551215693119,0.014090989739177572,3338
ABHD15,3.143642727446856e-05,0.4088357637917035,2.8147924326827347,9.977426298238056,10.38626206202976,0.01576512886882079,1570
ABHD16A,5.36621815895387e-06,0.06631386022176411,3.7125090938675434,7.958794834106416,8.02510869432818,0.01684316562145376,268
ABHD16B,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ABHD17A,6.761835344323589e-05,0.02997990186788968,1.5370688401565133,11.228542189019224,11.258522090887114,0.014589641929557523,3377
ABHD17B,9.531044192768813e-06,0.17685718965028485,3.4177384883772652,8.644220678192093,8.821077867842378,0.016830751741772034,476
ABHD17C,7.869118419659965e-06,0.24246380557128688,3.7589175926394596,8.314863333008875,8.557327138580161,0.016721706818283815,393
ABHD2,8.447788959935215e-05,0.40667652070062665,1.9352870961033162,11.075552750496136,11.482229271196763,0.013739386914993068,4219
ABHD3,3.439986118314458e-05,0.414889129225104,2.744998123654132,10.081123747914546,10.49601287713965,0.016314089755020147,1718
ABHD4,2.6831090794769348e-05,0.4399710111113002,3.0096265270206852,9.750444349492671,10.190415360603971,0.016179187290293832,1340
ABHD5,1.930236681056541e-05,0.25603210205977867,2.9246780936755448,9.511870981978266,9.767903084038045,0.01688729443961533,964
ABHD6,5.746658998581196e-06,0.09784603058156449,3.710566604669482,8.022903834333654,8.120749864915219,0.017370402646370648,287
ABHD8,1.996313247939182e-05,0.14624739481807403,2.6741239073701784,9.665463987233432,9.811711382051506,0.01636163025792768,997
ABI1,3.07956848077278e-05,0.2418680433868552,2.4757877049113683,10.119079852308113,10.360947895694968,0.015624963835265574,1538
ABI2,7.112241380822442e-05,0.23482467303132637,1.8259398749068636,11.075366869905151,11.310191542936478,0.014580736858150813,3552
ABI3,5.02582372349784e-06,1.1129624678355228,7.646736100486763,6.819464733375408,7.932427201210931,0.01725398441925659,251
ABI3BP,1.9022041981366327e-06,0.5443031065384405,6.201608950198208,6.011755081924065,6.556058188462505,0.016830688823857905,95
ABL1,4.45916710447398e-05,0.42503323360149814,2.5364911543089805,10.377081167744162,10.80211440134566,0.015354261440994285,2227
ABL2,2.0503758935704337e-05,0.3223734716375368,2.9925947059301685,9.523294354539773,9.84566782617731,0.01656620257316679,1024
ABLIM1,4.4051044588427285e-07,0.17872727272736366,6.666191449626641,4.277613436819116,4.456340709546479,0.016475376046564228,22
ABLIM2,1.8261160302111676e-05,0.28601395366880666,3.0533328726564006,9.409515781651667,9.695529735320473,0.016464132320281294,912
ABLIM3,5.226055744354328e-06,0.2736849879238319,4.295012398666555,7.714593975455642,7.988278963379474,0.017857600368681698,261
ABO,6.00696062569463e-07,0.06217483708328597,5.884769471051013,4.840223928941852,4.902398766025138,0.01739891679830511,30
ABR,5.568452500018922e-05,0.25551363856097,2.0283126509711757,10.795507885510544,11.051021524071514,0.014676627668557958,2781
ABRA,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ABRACL,2.985459430970231e-05,0.2531200327437695,2.5374364194000676,10.068771823610135,10.321891856353904,0.015902938667900348,1491
ABT1,3.470020921442931e-05,0.20411654326121997,2.3112804064513393,10.301546538936893,10.505663082198113,0.016538204120579526,1733
ABTB1,1.103278434919247e-05,0.1931414701469194,3.3270896819746696,8.828196076613528,9.021337546760448,0.01667376278700986,551
ABTB2,7.568770388375234e-06,0.5517233822546146,4.727247685596229,7.952273045834065,8.50399642808868,0.01753246393203238,378
ACAA1,4.525243671356621e-05,0.1887040426489559,2.0843342674177374,10.630936370070094,10.81964041271905,0.015394322377107751,2260
ACAA2,0.00010241867866809344,0.24466115821455503,1.581421075557918,11.415748276599015,11.66040943481357,0.013048611251556331,5115
ACACA,1.836127631253992e-05,0.11519027122344205,2.6893614172965306,9.58744775726594,9.702638028489382,0.016936749870974425,917
ACACB,1.2794826132729562e-05,0.24962333162762285,3.3128143670336803,8.972960266453045,9.222583598080668,0.01706387920228906,639
ACAD10,8.10939684468775e-06,0.09677635016868358,3.39122583183986,8.503099918743617,8.5998762689123,0.016306065071135332,405
ACAD11,1.2214153272245748e-06,0.13448160208451565,5.364634352647521,5.787214591625781,5.9216961937102965,0.017170555356352965,61
ACAD8,1.3715893428669405e-05,0.30035328783589854,3.3532436183819865,9.016394151554143,9.316747439390042,0.016459130704827192,685
ACAD9,3.7943967952304415e-05,0.41667851506785425,2.6697883845822403,10.196656480558168,10.613334995626023,0.015842545350216185,1895
ACADL,1.0612297105393845e-06,0.1803631153301719,5.72477877731969,5.5392412092801795,5.719604324610351,0.01758207205510317,53
ACADM,3.602174055208213e-05,0.21332466495107916,2.3254287119382364,10.338210764700747,10.551535429651826,0.016070333694602642,1799
ACADS,1.5517981616377793e-05,0.1330683367516574,2.875996205483701,9.347337967872829,9.480406304624486,0.0174073352856787,775
ACADSB,1.005164744699568e-05,0.3029788351174094,3.674106891573889,8.591925177396412,8.894904012513821,0.016683236872587923,502
ACADVL,0.0002254612554844051,0.29358153656423447,1.214568770289662,11.949545902357388,12.243127438921622,0.0094961584795057,11260
ACAN,1.3415545397384674e-06,2.0449620422025685,16.409004863229942,4.010052521389433,6.055014563592001,0.017234999935801056,67
ACAP1,9.631160203197057e-06,0.2077176522548818,3.4756563881230584,8.627617745909715,8.835335398164597,0.01788102519172744,481
ACAP2,1.6839512954030613e-05,0.20522085307751503,2.9385725990214286,9.383514933133927,9.588735786211442,0.017408118832557384,841
ACAP3,2.030352691484785e-05,0.13545745761614647,2.6441439844158463,9.699285304823569,9.834742762439715,0.016857378141484348,1014
ACAT1,6.201185685925423e-05,0.19766897900200142,1.8477785170477017,10.970475523810958,11.16814450281296,0.015014967403575608,3097
ACAT2,2.2706311165125702e-05,0.3460693394344858,2.9619274821251755,9.630878076171927,9.976947415606412,0.01676468416925021,1134
ACBD3,7.04216017352267e-05,0.1355158960545051,1.6716889656380578,11.165107533295702,11.300623429350207,0.014699463559761716,3517
ACBD4,5.406264563125167e-06,0.14615975588686414,3.917367302830962,7.888834532228004,8.034994288114868,0.017160500292421794,270
ACBD5,2.3367076833952112e-05,0.1519995859654859,2.5478264801649715,9.862361433095776,10.014361019061262,0.01665432234520465,1167
ACBD6,3.051535997852872e-05,0.27985415564620375,2.557364269066009,10.069738149096512,10.349592304742716,0.016206171660476984,1524
ACCS,1.802088187708389e-06,0.46445033842945804,6.1809570985111195,6.013858096233521,6.478308434662979,0.01805152672783737,90
ACD,1.6358956103975043e-05,0.10342721929505139,2.767032288428541,9.44708226199925,9.550509481294302,0.017127816161217856,817
ACE,9.75129941571095e-06,0.7307693387729692,4.586764760942609,8.121642670887931,8.8524120096609,0.01702136565014584,487
ACE2,4.0046404171297534e-07,0.09779999999992128,6.433123515265977,4.221928094887363,4.319728094887284,0.014668333262011867,20
ACER2,2.402784250277852e-07,-0.001666666666760186,6.570999668881119,3.584962500721156,3.583295834054396,0.016583123974225747,12
ACER3,7.62883999463218e-06,0.29174485756837676,3.9142812750484595,8.223125205809241,8.514870063377618,0.01727054724568891,381
ACHE,1.7600394633285266e-05,0.6905184738768089,4.005099773651807,8.956450171988752,9.646968645865561,0.01662888771104905,879
ACIN1,5.726635796495547e-05,0.20879170686285953,1.9324037785265207,10.872803527273584,11.081595234136444,0.01465748840005714,2860
ACKR1,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ACKR2,4.0046404171297534e-08,6.661338147750939e-16,8.362759138109174,1.0,1.0000000000000007,0.0,2
ACKR3,1.2774802930643912e-05,2.180526754185914,12.063013834857646,7.038589985138197,9.219116739324111,0.017443900921612212,638
ACKR4,1.5618097626806037e-06,0.780992206069083,7.484489124511807,5.491605462953356,6.272597669022439,0.01754170941213889,78
ACLY,0.00016421028030440553,0.4622093469548503,1.645682013381404,11.577358319496394,12.039567666451244,0.01132054348190062,8201
ACMSD,2.4228074523635006e-06,0.30577591862602294,5.132628516950551,6.5955622829046465,6.9013382015306695,0.01724309692281058,121
ACO1,2.723155483648232e-05,0.24512023659311133,2.5903563425480187,9.963151630238857,10.208271866831968,0.015497779252441017,1360
ACO2,6.253246011348109e-05,0.3250733055329853,2.084440330820519,10.85191547672299,11.176988782255975,0.014309844616916336,3123
ACOT1,5.005800521412191e-07,0.07592000000005505,6.1227630086678895,4.563856189774724,4.639776189774779,0.017599818168864086,25
ACOT11,3.063549919104261e-06,0.1381145430692685,4.456690805166776,7.095591192351715,7.233705735420983,0.01774607037177841,153
ACOT12,1.0011601042824384e-07,3.064215547965432e-14,7.446468406235018,2.321928094887362,2.321928094887393,0.0,5
ACOT13,3.928552249204288e-05,0.18031072164782636,2.1643975260509234,10.474338544109438,10.654649265757264,0.015682282544163564,1962
ACOT2,1.4376659097495815e-05,0.17048896848247352,3.0077360836699056,9.208865434207734,9.379354402690208,0.01618641381324505,718
ACOT4,2.9634339086760175e-06,0.3599445253522289,5.26437797692739,6.825974396019737,7.185918921371966,0.017913881736398723,148
ACOT7,4.565290075527919e-06,0.23533731136733316,4.2566821971099,7.56248876655771,7.797826077925043,0.017093123608256464,228
ACOT8,2.3927726492350277e-05,0.12030854231209176,2.4579783725701914,9.9255256848508,10.045834227162892,0.016443873623452218,1195
ACOT9,1.627886329563245e-05,0.2151751781581126,2.992490270753424,9.328012107254544,9.543187285412657,0.016814003242008792,813
ACOX1,3.0094872734730096e-05,0.20943465233674985,2.4345833535861474,10.123449634526384,10.332884286863134,0.016147120037013383,1503
ACOX2,3.604176375416778e-07,-0.002666666666681472,6.165534560772954,4.169925001442312,4.167258334775631,0.017005445749487508,18
ACOX3,1.0071670649081329e-05,0.24203110385597526,3.500085856559767,8.655520697173502,8.897551801029477,0.01704915648643178,503
ACOXL,4.605336479699216e-07,0.1708695652173846,6.583896631511953,4.349648912578752,4.520518477796137,0.015980848662644813,23
ACP1,9.699239090288262e-05,0.0470468434358331,1.3234335267076895,11.564152161463028,11.611199004898861,0.013136014703223097,4844
ACP2,4.000635776712624e-05,0.11397646478881818,2.0422706033613793,10.562079334479499,10.676055799268317,0.01627287477547459,1998
ACP5,6.611661328681223e-05,5.264791787558221,33.37835671326901,5.969887369716621,11.234679157274842,0.014733203875347697,3302
ACP6,1.9222274002222817e-05,0.2717491086489652,2.9712418125598763,9.49101901693072,9.762768125579685,0.016155307104742944,960
ACPP,1.039204188245171e-05,0.4995896325848701,4.182550880243928,8.439995352730763,8.939584985315634,0.017555572239894526,519
ACR,8.009280834259507e-08,1.3322676295501878e-15,7.669611957549228,2.0,2.0000000000000013,0.0,4
ACRBP,2.683109079476935e-06,0.16418346074359746,4.670103497601685,6.8813512240237165,7.045534684767314,0.01736223016083342,134
ACRC,1.5017401564236574e-06,0.7997930365929138,7.19662415818443,5.418232190236264,6.218025226829178,0.016980573652594182,75
ACRV1,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ACSBG1,3.003480312847315e-07,-0.0014666666666323103,6.347856117566908,3.9068905956085187,3.9054239289418864,0.013906992647154528,15
ACSF2,3.9445708108728066e-06,0.36939342516753104,4.8256609057841775,7.222918872841703,7.592312298009234,0.017368281369122857,197
ACSF3,6.767842304949283e-06,0.06268032278623537,3.486713927802146,8.28622000580241,8.348900328588645,0.017288183545576166,338
ACSL1,5.938881738603424e-05,0.6715974804553557,2.7431721884808407,10.45001416855905,11.121611649014406,0.01431429350051591,2966
ACSL3,3.692278464593632e-05,0.35323915717012433,2.5475093607284163,10.226745747957402,10.579984905127526,0.0155069114005897,1844
ACSL4,1.4797146341294438e-05,0.36857555248231755,3.390929255371174,9.04895434508755,9.417529897569867,0.016682315601091742,739
ACSL5,6.247239050722415e-06,0.6134255365127377,5.104955958426942,7.62412088887891,8.237546425391647,0.017636198659560218,312
ACSL6,1.882180996050984e-06,0.18516880800174818,5.101717362880088,6.355068771867388,6.540237579869136,0.016500002103908715,94
ACSM1,1.0211833063680871e-06,0.0316174553919808,5.246760979505792,5.6332096556969855,5.664827111088966,0.01751666025499288,51
ACSM2A,6.00696062569463e-08,-0.0006666666666681476,7.957294030001009,1.584962500721156,1.584295834054488,0.021071307506904148,3
ACSM2B,8.009280834259507e-08,-0.0004999999999983906,7.669611957549228,2.0,1.9995000000000016,0.01580348062918229,4
ACSM3,3.924547608787158e-06,0.3238966956762619,4.727950113448808,7.261218963935901,7.585115659612163,0.016802821011908317,196
ACSM5,4.0046404171297534e-08,6.661338147750939e-16,8.362759138109174,1.0,1.0000000000000007,0.0,2
ACSS1,5.5864733818960055e-06,0.30459586996743493,4.293005434717459,7.776380989217524,8.08097685918496,0.017041221677973246,279
ACSS2,1.6058608072690312e-05,0.24874686297504844,3.0698639441503794,9.277217836670768,9.525964699645817,0.01674575639971886,802
ACSS3,1.9422506023079305e-06,0.39518987588463705,5.7542591293873855,6.189867094652929,6.585056970537566,0.01765861321210153,97
ACTA1,2.140480302955853e-05,5.309359095269698,29.817043671582717,4.5921168648396415,9.90147596010934,0.016815267654760196,1069
ACTA2,1.2454431697273533e-05,1.5886849137996721,6.31292255469876,7.597664405699217,9.18634931949889,0.017185261144698403,622
ACTB,0.001963014662870748,0.5186549713243167,0.5156121572718848,12.273789938956742,12.79244491028106,0.0027899438804307,98037
ACTBL2,1.201392125138926e-07,-0.0016666666666496077,7.2641468494410635,2.584962500721156,2.5832958340545065,0.02351122663040272,6
ACTC1,4.345034852585782e-06,0.7874269381025698,6.265614082054403,6.940560550792769,7.727987488895339,0.018060294392465783,217
ACTG1,0.005037176879080403,1.0635520796309894,1.358204574578651,11.768795909378662,12.832347989009651,0.001596103937668502,251567
ACTG1P17,1.0812529126250334e-06,0.029171205787071663,5.18156939389279,5.717850465126431,5.747021670913503,0.017155308449921313,54
ACTG2,7.208352750833556e-07,0.04909014201386519,5.657717064527696,5.114369445886757,5.163459587900622,0.019314120140315735,36
ACTL10,2.122459421078769e-06,0.07815057452817342,4.660626683106466,6.633580831921689,6.7117314064498625,0.01753097827628819,106
ACTL6A,3.1256218455697725e-05,0.3627184120327076,2.7404314230337796,10.017190442371183,10.37990885440389,0.016253488661703085,1561
ACTL6B,9.791345819882247e-06,0.18601917194610884,3.413253511593004,8.672393236729702,8.858412408675811,0.01624084723779493,489
ACTL7B,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ACTL8,2.0023202085648767e-08,0.0,9.055906318669118,0.0,0.0,0.0,1
ACTN1,0.00022688290283248618,0.4927578532760748,1.4963308805298143,11.753382636310315,12.24614048958639,0.009358840720316852,11331
ACTN2,4.605336479699216e-07,0.2910820653114481,6.969200151882396,4.229871195093384,4.520953260404832,0.014833671410899996,23
ACTN3,4.0046404171297534e-08,6.661338147750939e-16,8.362759138109174,1.0,1.0000000000000007,0.0,2
ACTN4,0.00048768510999806135,0.5773236585314336,1.2771126126687626,11.998411947096542,12.575735605627976,0.006398022596572716,24356
ACTR10,8.017290115093766e-05,0.33507752484818276,1.8869167822773643,11.095576825749047,11.43065435059723,0.014318126991027845,4004
ACTR1A,9.941519835524612e-05,0.11302489172322083,1.4092529797969473,11.520645995770964,11.633670887494185,0.013147590418481755,4965
ACTR1B,6.23722744967959e-05,0.1650581781855074,1.7936235756489158,11.009388032187877,11.174446210373384,0.01435300611923184,3115
ACTR2,0.0001295901638983188,0.06244021677567524,1.1825335151177934,11.797745213340447,11.860185430116122,0.012432940775264655,6472
ACTR3,0.0001103278434919247,0.26360079876800846,1.5533563688958745,11.462975503941069,11.726576302709077,0.012566608504162942,5510
ACTR3B,2.0703990956560826e-05,0.3283679633856025,3.0165031560758817,9.531280758040678,9.85964872142628,0.01646463555181971,1034
ACTR3C,6.9080047195488245e-06,0.2682836032074718,3.974840033549344,8.109310558855471,8.377594162062943,0.01684896119928976,345
ACTR5,4.3049884484144844e-06,0.21597802670561617,4.338858467068982,7.499310175150731,7.715288201856347,0.01769765896177232,215
ACTR6,1.4016241459954137e-05,0.15938524712331414,3.0254771712737587,9.185062879655474,9.344448126778788,0.01763851053470732,700
ACTR8,1.4216473480810624e-05,0.29043375572894625,3.2732085487928377,9.073410205982878,9.363843961711824,0.016943521143113763,710
ACTRT3,1.3015081355671698e-06,0.14320754192309426,5.375025236150936,5.8685216591823,6.011729201105394,0.017642284709651516,65
ACVR1,4.557280794693659e-05,0.20183968999173274,2.0912359086506385,10.624635708940618,10.82647539893235,0.01510324053795251,2276
ACVR1B,3.962591692749891e-05,0.40684011595732805,2.592457196065759,10.2578383003474,10.664678416304728,0.016523973490011806,1979
ACVR1C,1.4076311066211083e-05,0.3434453615700459,3.449800320207378,9.006496024130577,9.349941385700623,0.017388759889089722,703
ACVR2A,5.426287765210816e-06,0.1680604398595653,3.9733784412100515,7.872721412194596,8.040781852054161,0.017511150095662096,271
ACVR2B,7.208352750833556e-06,0.14145240898092837,3.6099485197204544,8.294576568527857,8.436028977508785,0.017690520126162224,360
ACVRL1,1.756034822911397e-05,1.7850549467161851,9.591201355370876,7.860062801668718,9.645117748384903,0.016800566254231993,877
ACY1,1.6018561668519014e-07,-0.0012499999999970868,6.976464776989283,3.0,2.998750000000003,0.017633419978514205,8
ACY3,1.7420185814514427e-06,0.17957601223728226,5.161036538728893,6.250358582030757,6.4299345942680395,0.016874060271606085,87
ACYP1,2.3587332056894245e-05,0.16196388613938772,2.560467563518792,9.864528033924643,10.02649192006403,0.01681055900835458,1178
ACYP2,1.7260000197829238e-05,0.09726815126421151,2.7073496051034986,9.524427542255204,9.621695693519415,0.01670248551489686,862
